,sentiment,text
0,neutral,@united thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️
1,positive,"@britishmuseum One of my best London memories, thank you 😀"
2,neutral,Add me on snapchat for my morning analysis of the #GOPDebate and Republican candidates. @mcasiyo 🙏🗽🙏
3,neutral,OMG Nurse Hoffel is the sister of the Chanel's former maid!!!! 😱 #ScreamQueens
4,negative,Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅
5,positive,"@BratzHead happy birthday to the most beautiful cheerful sister ever, llnp 💕❣🎉"
6,neutral,Ariana lips💄#mac #ariana #arianagrande https://t.co/T4aK8LagqX
7,positive,It's been a while since we've had a family drama like #thisisus ❤️
8,positive,Found my Bernie soulmate 🙆🏻🐦 #NODAPL @ Dakota Access Pipeline Resistance Camp https://t.co/oOheD6wycx
9,positive,"“@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)” you know me too well 💘"
10,negative,America's Nightmare. 🇺🇸😱💤#trumptransitionteam #notmypresident #fucktrump #nohateinwhitehouse… https://t.co/ha8eh8YMo4
11,neutral,@AmericanAir I'm sure they did. It's certainly chilly back East today! 😮
12,positive,@jewleree @GameOfThrones Lmao night king smiles 😂
13,positive,@shoe0nhead @ObscuredLeg Hi I just wanted to wish you two a happy tuesday.😊
14,negative,RT @abloomy09: Did you guys see that stand up comedy special on Fox News last night? That was fantastic 😂 #GOPDebate #Republicandebate #Rep…
15,neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
16,positive,"Keep it up #BlackLivesMatter, you'll ensure a @realDonaldTrump victory in 2020 😉 #MAGA https://t.co/us4L3LR8Xx"
17,positive,"@AmericanAir me too. Despite the chaos, I'm still grateful for a flight home ✈️"
18,negative,"I'm Not 1 Of Those Conservatives Who Supports RINOS Like Bush, Huckabee, Rubio &amp; Santorum 😑
#GOPDebate"
19,positive,@Apollo_magazine @afneil @FitzMuseum_UK  A modern looking university Fitzwilliam. Contemporary! Hubby studied here. 😉
20,neutral,Obama's Mid-East Policy Supp http://t.co/FiNCBJ3pos  #1A☢#StopIran #GopDebate►http://t.co/ZWmstJJH16◄#19T$ #CruzCrew #sot #fox #cnn #tcot
21,negative,@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄
22,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞
23,negative,There is nothing like being in the shower when the power goes out 😳 #creepy #panic
24,neutral,@USAirways I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
25,neutral,Retweet and tweet this 👇👇👇#MPN #OneDirection
26,negative,@USAirways so you don't have a pilot now for #clt ✈ #ord for at least another hour. Why on earth would you board the plane? Makes no sense!
27,positive,Search for your 'Treasured Possession' @FitzMuseum_UK ; a museum with more treasures than you could imagine 🎎🎏🎭🗿📚📯🚋🏆 http://t.co/uGcTqDAMQy
28,positive,brennan cook and breezy should get back together😍😍😍
29,positive,can't wait until melania comes out with this speech 😍😍😍 https://t.co/QKX4hHsnRy
30,positive,@NationalGallery Thank you for the information - it's a very beautiful painting 🎨
31,neutral,@SouthwestAir when can I start Flight Booking Problems for next years super bowl time? 😩#help
32,positive,"❤❤❤Beauty without compromise❤❤❤No talc, no bismuth, no harmful chemicals & no animal testing https://t.co/2kU0MzR2sa"
33,positive,@united kept me watching the safety video for the first time in forever. Nice job 👍.
34,positive,"#ThankYouObama now I know what @DaveChappelle was talmbout with B. Cooper, like where you come from, Bro? 😭"
35,neutral,@MargotDh1 @ricky_martin literal 😭
36,positive,#HUMOROUS #SHORT@lawrence_wray ☑VALENTINE'S SURPRISE❥FINALLY Perfect Gift For Wife?❥https://t.co/b7Ubk9fC00 https://t.co/zZx1CFDcwk
37,negative,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest
38,positive,"@AdamWylde I'm probably the only one who listens to the podcast that cares but... Pittsburgh thanks you for Hutchison, he'll win a Cy young😂"
39,negative,@AmericanAir I'll give a reward for whoever finds and returns to me on Thurs when I fly back thru @dfwairport. I ❤️ these earrings!!
40,negative,Seeing an old coworker and his wife mourn the loss of their 23 year old daughter was one of the saddest things I've ever seen 😢
41,positive,@Gennneral thanks gen!! Love you miss you happy birthday natong duha 💘💘
42,negative,@USAirways pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this long😒
43,negative,Bloody parking ticket 😒💸 #fuming
44,neutral,Just passed a Tesla Model S in Fort Wayne 👅😅
45,positive,@BrianaBanksxoxo I send ya a few #playful nibbles 😉
46,positive,✨you make me happy @EthanDolan @GraysonDolan✨
47,positive,1st try 😭😭 #mannequinchallenge https://t.co/JLtwkKJoDe
48,negative,"@NickP118 my congressman, the despicable Tim Ryan is challenging Pelosi for minority leader. He's being called a sexist for it 😂😂"
49,positive,🎥📷 @andresiniesta8  is well on the road to recovery. Check in on his progress in this video:… https://t.co/U28JLCksng
50,neutral,The first Green Meanie: CassidyThe second one...? Hmmm🤔#ScreamQueens
51,negative,@USAirways tell my professors that when I don't show up to class/write my midterm because I'm stuck with no flights home 😠
52,negative,sick of this shit. #mad #angry. Rowan Atkinson Is Not Dead. Just A Bloody Online Hoax😡😡😡😡🤬🤬🤬🤬
53,positive,@JetBlue my email is my twitter handle followed by gmail ☺👍👍
54,neutral,so my research paper is on minimum wage. there is literally so much I could write abt this subject but that's what's making it so hard 😭
55,negative,"Melania Trump can copy Michelle Obamas speech word for word, but if I plagiarize on a research paper I'll get kicked out of my university 🙃"
56,neutral,Jesuit treasure #maps? 🤔 https://t.co/JHHcIUO9lr
57,negative,"*playing guesstures*me ""when you get your nails done!""gage ""OH ITS MEDICARE!!""😂😂😭"
58,positive,Fun pizza night last night with the @PERFORMERS_COLL crew. What a gorgeous bunch of newbies ❤️ #lively #exciting 💪🏼
59,neutral,.@OliverElner Muslims have a special decoding ring that shows #Jerusalem in the Koran 🙄@Joyce_Karam @HillelNeuer @Michaelhorowicz #israel
60,negative,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare
61,neutral,@JetBlue Hopefully next time! Can I send you my future itineraries so the next one can be planned when I'm there? 😂😂
62,positive,@USAirways YOU ARE AMAZING!!! YOU ARE THE BEST!!! FOLLOW ME PLEASE 🙏🙏🙏😢😢😢🙏🙏🙏
63,negative,"@USAirways grades for this trip:

Flight timeliness: 👎✈️
Cancelled Flightations: 👎😬
Customer Service: 👎😡
Flight attendants: 😊👏"
64,positive,@AmericanAir Flight attendant #YeseniaHernandez provided excellent service among peculiar conditions throughout the day ✈ :-)
65,neutral,Drank so much beer yesterday that I somehow bypassed drunk + ended up completely sober? 🤔...I blame David Blaine
66,positive,📷 Playing robots in the Himalayas https://t.co/KtRvAjTLiL
67,negative,"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke"
68,positive,"I don't want to come across as dramatic but I miss one direction, my life, my voice, my reason to be, my love, my heart❤#onedirection #love"
69,positive,"i need a legit boo by valentines day, im trying be on a whole other level of romatic😹"
70,negative,@hanktastic1776 @sue51684 @EternalRiteWing If you watch his UN speech you can see his resentment towards us Americans!!!!🇺🇸✝🇺🇸
71,positive,This was very very good😂👌🏻#MannequinChallenge #cadavermovie 🎥@shaymitch @sammyinlala 💖 https://t.co/567LWkg0hv
72,neutral,I FORGOT HIS TAIL 😂 #BeautyAndTheBeast https://t.co/Va2rBqZX7E
73,positive,the thought of you gets me through my day. the thought of your smile never fails at making me smile 💚
